"","year","sector","category","GDP"
"218",2019,"Pertambangan Bijih Logam","Lahan",1091194.31203661
"219",2019,"Pertambangan dan Penggalian Lainnya","Lahan",9468982.81445328
"220",2019,"Industri Batubara dan Pengilangan Migas","Indirect Land-based",30343393.6371977
"221",2019,"Industri Makanan dan Minuman","Indirect Land-based",80506669.9127246
"222",2019,"Pengolahan Tembakau","Indirect Land-based",3665392.59608218
"223",2019,"Industri Tekstil dan Pakaian Jadi","Industri",110595689.383655
"224",2019,"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",10646177.5014568
"225",2019,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",7693822.16001492
"226",2019,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",19283583.0575869
"227",2019,"Industri Kimia Farmasi dan Obat Tradisional","Industri",44861680.9218322
"228",2019,"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",23594590.6949519
"229",2019,"Industri Barang Galian bukan Logam","Indirect Land-based",14074288.5331261
"230",2019,"Industri Logam Dasar","Industri",21801081.3215255
"231",2019,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",178419240.666307
"232",2019,"Industri Mesin dan Perlengkapan YTDL","Industri",73850061.2164632
"233",2019,"Industri Alat Angkutan","Industri",156792085.639213
"234",2019,"Industri Furnitur","Indirect Land-based",4259169.72898171
"235",2019,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",8755451.80410409
"236",2019,"Ketenagalistrikan","Energi",2732352.7462026
"237",2019,"Pengadaan Gas dan Produksi Es","Energi",12273450.5928993
"238",2019,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",1430354.67100618
"239",2019,"Konstruksi","Jasa",166199990.798638
"240",2019,"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",39675375.6657057
"241",2019,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",241014885.006009
"242",2019,"Angkutan Rel","Transportasi",1196308.59656601
"243",2019,"Angkutan Darat","Transportasi",88897710.4855159
"244",2019,"Angkutan Laut","Transportasi",258664.697354586
"245",2019,"Angkutan Sungai Danau dan Penyeberangan","Transportasi",1523.01007681732
"246",2019,"Angkutan Udara","Transportasi",10349052.5753719
"247",2019,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",3950867.4648385
"248",2019,"Penyediaan Akomodasi","Jasa",7689339.20186773
"249",2019,"Penyediaan Makan Minum","Jasa",38902771.3377286
"250",2019,"Informasi dan Komunikasi","Jasa",48550399.3059902
"251",2019,"Jasa Perantara Keuangan","Jasa",36847221.1874764
"252",2019,"Asuransi dan Dana Pensiun","Jasa",3886997.1256112
"253",2019,"Jasa Keuangan Lainnya","Jasa",5779544.19085148
"254",2019,"Jasa Penunjang Keuangan","Jasa",639620.291498224
"255",2019,"Real Estate","Jasa",17329915.6471729
"256",2019,"Jasa Perusahaan","Jasa",7667904.42041839
"257",2019,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",44422456.200096
"258",2019,"Jasa Pendidikan","Jasa",46853370.4538298
"259",2019,"Jasa Kesehatan dan Kegiatan Sosial","Jasa",12847569.669625
"260",2019,"Jasa lainnya","Jasa",33330979.5140007
