"","year","sector","income"
"260",2020,"Jasa lainnya",14472741.41237
"261",2020,"Lainnya",6885.01871631365
"262",2021,"Tanaman Pangan",35003542.7629406
"263",2021,"Tanaman Hortikultura",12122811.3815666
"264",2021,"Perkebunan",5458455.59421022
"265",2021,"Peternakan",8776969.26560489
"266",2021,"Jasa Pertanian dan Perburuan ",1004319.82511718
"267",2021,"Kehutanan dan Penebangan Kayu",393246.093648668
"268",2021,"Perikanan",7717472.74474978
"269",2021,"Pertambangan Minyak Gas dan Panas Bumi",10670392.413533
"270",2021,"Pertambangan Bijih Logam",244079.932487458
"271",2021,"Pertambangan dan Penggalian Lainnya",3488763.86042305
"272",2021,"Industri Batubara dan Pengilangan Migas",11384623.5791122
"273",2021,"Industri Makanan dan Minuman",32576452.9894592
"274",2021,"Pengolahan Tembakau",1607465.90986109
"275",2021,"Industri Tekstil dan Pakaian Jadi",53187115.393758
"276",2021,"Industri Kulit Barang dari Kulit dan Alas Kaki",4710223.92155314
"277",2021,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2672954.22627091
"278",2021,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",8595105.1630102
"279",2021,"Industri Kimia Farmasi dan Obat Tradisional",19640319.0733671
"280",2021,"Industri Karet Barang dari Karet dan Plastik",10134607.1589934
"281",2021,"Industri Barang Galian bukan Logam",6083734.29174337
"282",2021,"Industri Logam Dasar",10250218.4195723
"283",2021,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",46112987.9550629
"284",2021,"Industri Mesin dan Perlengkapan YTDL",35650236.5543367
"285",2021,"Industri Alat Angkutan",78280355.4014916
"286",2021,"Industri Furnitur",1343402.05334558
"287",2021,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2856068.12191765
"288",2021,"Ketenagalistrikan",1322931.43014954
"289",2021,"Pengadaan Gas dan Produksi Es",4892198.41363985
"290",2021,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",640073.865031321
"291",2021,"Konstruksi",69905022.4966303
"292",2021,"Perdagangan Mobil Sepeda Motor dan Reparasinya",12730004.6518817
"293",2021,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",111088094.637965
"294",2021,"Angkutan Rel",522925.018473053
"295",2021,"Angkutan Darat",34235698.5933989
"296",2021,"Angkutan Laut",108020.02497357
"297",2021,"Angkutan Sungai Danau dan Penyeberangan",466.880861756991
"298",2021,"Angkutan Udara",5222571.69894769
"299",2021,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1671488.72988771
"300",2021,"Penyediaan Akomodasi",3411388.48127938
"301",2021,"Penyediaan Makan Minum",16557116.5329563
"302",2021,"Informasi dan Komunikasi",20896211.7616934
"303",2021,"Jasa Perantara Keuangan",15701997.3804933
"304",2021,"Asuransi dan Dana Pensiun",1767692.9428911
"305",2021,"Jasa Keuangan Lainnya",2486570.65739295
"306",2021,"Jasa Penunjang Keuangan",208004.153624759
"307",2021,"Real Estate",5939911.5789719
"308",2021,"Jasa Perusahaan",2508558.13037141
"309",2021,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",41285419.5388472
"310",2021,"Jasa Pendidikan",21820039.8731262
"311",2021,"Jasa Kesehatan dan Kegiatan Sosial",4817322.73022309
"312",2021,"Jasa lainnya",15196378.4829885
"313",2021,"Lainnya",7229.26965212934
"314",2022,"Tanaman Pangan",36753719.9010876
"315",2022,"Tanaman Hortikultura",12728951.950645
"316",2022,"Perkebunan",5731378.37392073
"317",2022,"Peternakan",9215817.72888513
"318",2022,"Jasa Pertanian dan Perburuan ",1054535.81637304
"319",2022,"Kehutanan dan Penebangan Kayu",412908.398331101
"320",2022,"Perikanan",8103346.38198727
"321",2022,"Pertambangan Minyak Gas dan Panas Bumi",11203912.0342096
"322",2022,"Pertambangan Bijih Logam",256283.929111831
"323",2022,"Pertambangan dan Penggalian Lainnya",3663202.05344421
"324",2022,"Industri Batubara dan Pengilangan Migas",11953854.7580678
"325",2022,"Industri Makanan dan Minuman",34205275.6389322
"326",2022,"Pengolahan Tembakau",1687839.20535414
"327",2022,"Industri Tekstil dan Pakaian Jadi",55846471.1634459
"328",2022,"Industri Kulit Barang dari Kulit dan Alas Kaki",4945735.1176308
"329",2022,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2806601.93758445
"330",2022,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",9024860.42116071
"331",2022,"Industri Kimia Farmasi dan Obat Tradisional",20622335.0270354
"332",2022,"Industri Karet Barang dari Karet dan Plastik",10641337.516943
"333",2022,"Industri Barang Galian bukan Logam",6387921.00633054
"334",2022,"Industri Logam Dasar",10762729.3405509
"335",2022,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",48418637.352816
"336",2022,"Industri Mesin dan Perlengkapan YTDL",37432748.3820536
"337",2022,"Industri Alat Angkutan",82194373.1715662
"338",2022,"Industri Furnitur",1410572.15601286
"339",2022,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",2998871.52801353
"340",2022,"Ketenagalistrikan",1389078.00165701
"341",2022,"Pengadaan Gas dan Produksi Es",5136808.33432184
"342",2022,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",672077.558282887
"343",2022,"Konstruksi",73400273.6214618
"344",2022,"Perdagangan Mobil Sepeda Motor dan Reparasinya",13366504.8844758
"345",2022,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",116642499.369863
"346",2022,"Angkutan Rel",549071.269396706
"347",2022,"Angkutan Darat",35947483.5230689
"348",2022,"Angkutan Laut",113421.026222248
"349",2022,"Angkutan Sungai Danau dan Penyeberangan",490.224904844841
"350",2022,"Angkutan Udara",5483700.28389508
"351",2022,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1755063.1663821
"352",2022,"Penyediaan Akomodasi",3581957.90534334
"353",2022,"Penyediaan Makan Minum",17384972.3596041
"354",2022,"Informasi dan Komunikasi",21941022.349778
"355",2022,"Jasa Perantara Keuangan",16487097.2495179
"356",2022,"Asuransi dan Dana Pensiun",1856077.59003566
"357",2022,"Jasa Keuangan Lainnya",2610899.19026259
"358",2022,"Jasa Penunjang Keuangan",218404.361305997
"359",2022,"Real Estate",6236907.15792049
"360",2022,"Jasa Perusahaan",2633986.03688998
"361",2022,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",43349690.5157895
"362",2022,"Jasa Pendidikan",22911041.8667825
"363",2022,"Jasa Kesehatan dan Kegiatan Sosial",5058188.86673424
"364",2022,"Jasa lainnya",15956197.4071379
"365",2022,"Lainnya",7590.7331347358
"366",2023,"Tanaman Pangan",38591405.896142
"367",2023,"Tanaman Hortikultura",13365399.5481772
"368",2023,"Perkebunan",6017947.29261677
"369",2023,"Peternakan",9676608.61532939
"370",2023,"Jasa Pertanian dan Perburuan ",1107262.60719169
"371",2023,"Kehutanan dan Penebangan Kayu",433553.818247656
"372",2023,"Perikanan",8508513.70108663
"373",2023,"Pertambangan Minyak Gas dan Panas Bumi",11764107.6359201
"374",2023,"Pertambangan Bijih Logam",269098.125567422
"375",2023,"Pertambangan dan Penggalian Lainnya",3846362.15611642
"376",2023,"Industri Batubara dan Pengilangan Migas",12551547.4959712
"377",2023,"Industri Makanan dan Minuman",35915539.4208788
"378",2023,"Pengolahan Tembakau",1772231.16562185
"379",2023,"Industri Tekstil dan Pakaian Jadi",58638794.7216181
"380",2023,"Industri Kulit Barang dari Kulit dan Alas Kaki",5193021.87351234
"381",2023,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",2946932.03446367
"382",2023,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",9476103.44221875
"383",2023,"Industri Kimia Farmasi dan Obat Tradisional",21653451.7783872
"384",2023,"Industri Karet Barang dari Karet dan Plastik",11173404.3927902
"385",2023,"Industri Barang Galian bukan Logam",6707317.05664707
"386",2023,"Industri Logam Dasar",11300865.8075784
"387",2023,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",50839569.2204568
"388",2023,"Industri Mesin dan Perlengkapan YTDL",39304385.8011562
"389",2023,"Industri Alat Angkutan",86304091.8301445
"390",2023,"Industri Furnitur",1481100.76381351
"391",2023,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",3148815.10441421
"392",2023,"Ketenagalistrikan",1458531.90173986
"393",2023,"Pengadaan Gas dan Produksi Es",5393648.75103794
"394",2023,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",705681.436197031
"395",2023,"Konstruksi",77070287.3025349
"396",2023,"Perdagangan Mobil Sepeda Motor dan Reparasinya",14034830.1286995
"397",2023,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",122474624.338357
"398",2023,"Angkutan Rel",576524.832866542
"399",2023,"Angkutan Darat",37744857.6992223
"400",2023,"Angkutan Laut",119092.077533361
"401",2023,"Angkutan Sungai Danau dan Penyeberangan",514.736150087083
"402",2023,"Angkutan Udara",5757885.29808983
"403",2023,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",1842816.32470121
"404",2023,"Penyediaan Akomodasi",3761055.80061051
"405",2023,"Penyediaan Makan Minum",18254220.9775843
"406",2023,"Informasi dan Komunikasi",23038073.4672669
"407",2023,"Jasa Perantara Keuangan",17311452.1119938
"408",2023,"Asuransi dan Dana Pensiun",1948881.46953744
"409",2023,"Jasa Keuangan Lainnya",2741444.14977572
"410",2023,"Jasa Penunjang Keuangan",229324.579371297
"411",2023,"Real Estate",6548752.51581652
"412",2023,"Jasa Perusahaan",2765685.33873448
"413",2023,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",45517175.041579
"414",2023,"Jasa Pendidikan",24056593.9601216
"415",2023,"Jasa Kesehatan dan Kegiatan Sosial",5311098.31007095
"416",2023,"Jasa lainnya",16754007.2774948
"417",2023,"Lainnya",7970.26979147259
"418",2024,"Tanaman Pangan",40520976.1909491
"419",2024,"Tanaman Hortikultura",14033669.5255861
"420",2024,"Perkebunan",6318844.6572476
"421",2024,"Peternakan",10160439.0460959
"422",2024,"Jasa Pertanian dan Perburuan ",1162625.73755127
"423",2024,"Kehutanan dan Penebangan Kayu",455231.509160039
"424",2024,"Perikanan",8933939.38614096
"425",2024,"Pertambangan Minyak Gas dan Panas Bumi",12352313.0177161
"426",2024,"Pertambangan Bijih Logam",282553.031845793
"427",2024,"Pertambangan dan Penggalian Lainnya",4038680.26392224
"428",2024,"Industri Batubara dan Pengilangan Migas",13179124.8707697
"429",2024,"Industri Makanan dan Minuman",37711316.3919227
"430",2024,"Pengolahan Tembakau",1860842.72390294
"431",2024,"Industri Tekstil dan Pakaian Jadi",61570734.4576991
