"","year","id.sector","sector","labour"
"305",2021,44,"Jasa Keuangan Lainnya",7940.26517064177
"306",2021,45,"Jasa Penunjang Keuangan",1249.02096676765
"307",2021,46,"Real Estate",17107.678328949
"308",2021,47,"Jasa Perusahaan",31807.5017378772
"309",2021,48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",116479.986538331
"310",2021,49,"Jasa Pendidikan",187216.727896584
"311",2021,50,"Jasa Kesehatan dan Kegiatan Sosial",217951.827668268
"312",2021,51,"Jasa lainnya",44649.3316335089
"313",2021,52,"Lainnya",796.015677411639
"314",2022,1,"Tanaman Pangan",77479.720402686
"315",2022,2,"Tanaman Hortikultura",54919.1357918457
"316",2022,3,"Perkebunan",58566.2716563318
"317",2022,4,"Peternakan",253259.036054858
"318",2022,5,"Jasa Pertanian, dan Perburuan",0
"319",2022,6,"Kehutanan dan Penebangan Kayu",958.861504619675
"320",2022,7,"Perikanan",74558.2150213726
"321",2022,8,"Pertambangan Minyak, Gas dan Panas Bumi",110467.365458434
"322",2022,9,"Pertambangan Bijih Logam",4391.57143561933
"323",2022,10,"Pertambangan dan Penggalian Lainnya",32003.1174822292
"324",2022,11,"Industri Batubara dan Pengilangan Migas",1987833.26636485
"325",2022,12,"Industri Makanan dan Minuman",845997.020174628
"326",2022,13,"Pengolahan Tembakau",25059.06725055
"327",2022,14,"Industri Tekstil dan Pakaian Jadi",1584552.15017716
"328",2022,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",200081.320856148
"329",2022,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",311169.297416787
"330",2022,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",340084.154046834
"331",2022,18,"Industri Kimia, Farmasi dan Obat Tradisional",1267205.59295828
"332",2022,19,"Industri Karet, Barang dari Karet dan Plastik",433086.518791403
"333",2022,20,"Industri Barang Galian bukan Logam",168473.711475097
"334",2022,21,"Industri Logam Dasar",304189.870448264
"335",2022,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",10295097.3945064
"336",2022,23,"Industri Mesin dan Perlengkapan YTDL",2095087.20540832
"337",2022,24,"Industri Alat Angkutan",1733458.43621257
"338",2022,25,"Industri Furnitur",92644.9469097217
"339",2022,26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",171787.027728581
"340",2022,27,"Ketenagalistrikan",402496.909309508
"341",2022,28,"Pengadaan Gas dan Produksi Es",10233.8461334831
"342",2022,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",21971.9275492656
"343",2022,30,"Konstruksi",1777791.6523554
"344",2022,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",127680.993538849
"345",2022,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1378831.74944025
"346",2022,33,"Angkutan Rel",66562.9977005416
"347",2022,34,"Angkutan Darat",1016139.07052161
"348",2022,35,"Angkutan Laut",10157.9010156538
"349",2022,36,"Angkutan Sungai Danau dan Penyeberangan",9.85229859229638
"350",2022,37,"Angkutan Udara",174815.572768317
"351",2022,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",12469.8983222072
"352",2022,39,"Penyediaan Akomodasi",33296.2620114698
"353",2022,40,"Penyediaan Makan Minum",382272.756261163
"354",2022,41,"Informasi dan Komunikasi",112053.084016328
"355",2022,42,"Jasa Perantara Keuangan",76097.91182699
"356",2022,43,"Asuransi dan Dana Pensiun",7893.90477406521
"357",2022,44,"Jasa Keuangan Lainnya",8337.28835215571
"358",2022,45,"Jasa Penunjang Keuangan",1311.47460578435
"359",2022,46,"Real Estate",17963.063119278
"360",2022,47,"Jasa Perusahaan",33397.8934099318
"361",2022,48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",122303.996539662
"362",2022,49,"Jasa Pendidikan",196577.564612432
"363",2022,50,"Jasa Kesehatan dan Kegiatan Sosial",228849.41971499
"364",2022,51,"Jasa lainnya",46881.7994697077
"365",2022,52,"Lainnya",835.81646128222
"366",2023,1,"Tanaman Pangan",81353.7339222855
"367",2023,2,"Tanaman Hortikultura",57665.0928951704
"368",2023,3,"Perkebunan",61509.6380990476
"369",2023,4,"Peternakan",265922.020823245
"370",2023,5,"Jasa Pertanian, dan Perburuan",0
"371",2023,6,"Kehutanan dan Penebangan Kayu",1006.9765977782
"372",2023,7,"Perikanan",78286.1350282885
"373",2023,8,"Pertambangan Minyak, Gas dan Panas Bumi",115990.740355256
"374",2023,9,"Pertambangan Bijih Logam",4611.15055384688
"375",2023,10,"Pertambangan dan Penggalian Lainnya",33603.2746249657
"376",2023,11,"Industri Batubara dan Pengilangan Migas",2087225.84358599
"377",2023,12,"Industri Makanan dan Minuman",888297.032146275
"378",2023,13,"Pengolahan Tembakau",26312.0213922312
"379",2023,14,"Industri Tekstil dan Pakaian Jadi",1663779.80197299
"380",2023,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",210085.391033021
"381",2023,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",326727.777089555
"382",2023,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",357088.394016769
"383",2023,18,"Industri Kimia, Farmasi dan Obat Tradisional",1330566.24950689
"384",2023,19,"Industri Karet, Barang dari Karet dan Plastik",454740.950488573
"385",2023,20,"Industri Barang Galian bukan Logam",176897.405591908
"386",2023,21,"Industri Logam Dasar",319399.368307451
"387",2023,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",10809852.5112332
"388",2023,23,"Industri Mesin dan Perlengkapan YTDL",2199841.73180705
"389",2023,24,"Industri Alat Angkutan",1820131.53714831
"390",2023,25,"Industri Furnitur",97277.1966724031
"391",2023,26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",180376.437720565
"392",2023,27,"Ketenagalistrikan",422621.757472319
"393",2023,28,"Pengadaan Gas dan Produksi Es",10745.5386809835
"394",2023,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",23070.526711142
"395",2023,30,"Konstruksi",1866681.25864421
"396",2023,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",134065.359715028
"397",2023,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",1447773.5466895
"398",2023,33,"Angkutan Rel",69891.1531953014
"399",2023,34,"Angkutan Darat",1066946.09905276
"400",2023,35,"Angkutan Laut",10665.7981832401
"401",2023,36,"Angkutan Sungai Danau dan Penyeberangan",10.3450522268457
"402",2023,37,"Angkutan Udara",183556.362903201
"403",2023,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",13093.4019443835
