"","year","id.sector","sector","land.requirement"
"257",2020,"45","Jasa Penunjang Keuangan",135.479900030592
"258",2020,"46","Real Estate",173.609407659989
"259",2020,"47","Jasa Perusahaan",153.128645525811
"260",2020,"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",10830.7892592982
"261",2020,"49","Jasa Pendidikan",130.146720060886
"262",2020,"50","Jasa Kesehatan dan Kegiatan Sosial",76.543671522595
"263",2020,"51","Jasa lainnya",296.793212925024
"264",2020,"52","Lainnya",183172.701781754
"265",2020,"53","lainnya (tidak menghasilkan output)",566349.968478252
"266",2021,"1","Tanaman Pangan",1777363.2874029
"267",2021,"2","Tanaman Hortikultura",695628.423561518
"268",2021,"3","Perkebunan",92175.8170313591
"269",2021,"4","Peternakan",1314.01421427692
"270",2021,"5","Jasa Pertanian dan Perburuan ",125518.341280441
"271",2021,"6","Kehutanan dan Penebangan Kayu",256216.806230999
"272",2021,"7","Perikanan",31992.0632202135
"273",2021,"8","Pertambangan Minyak Gas dan Panas Bumi",624.002134398909
"274",2021,"9","Pertambangan Bijih Logam",445.715810617673
"275",2021,"10","Pertambangan dan Penggalian Lainnya",256.834082918118
"276",2021,"11","Industri Batubara dan Pengilangan Migas",931.630194285474
"277",2021,"12","Industri Makanan dan Minuman",7399.59023707665
"278",2021,"13","Pengolahan Tembakau",1245.26008653258
"279",2021,"14","Industri Tekstil dan Pakaian Jadi",289.103795226449
"280",2021,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",2085.17541645841
"281",2021,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",126.477597392463
"282",2021,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",496.958669221433
"283",2021,"18","Industri Kimia Farmasi dan Obat Tradisional",1177.02716072596
"284",2021,"19","Industri Karet Barang dari Karet dan Plastik",632.387987190648
"285",2021,"20","Industri Barang Galian bukan Logam",10015.4838356773
"286",2021,"21","Industri Logam Dasar",124.286139971739
"287",2021,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",10.7464656335305
"288",2021,"23","Industri Mesin dan Perlengkapan YTDL",1964.32956666225
"289",2021,"24","Industri Alat Angkutan",1314.01421486003
"290",2021,"25","Industri Furnitur",417.035082755632
"291",2021,"26","Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",1114.81992883938
"292",2021,"27","Ketenagalistrikan",248.664395138794
"293",2021,"28","Pengadaan Gas dan Produksi Es",94.8227994578936
"294",2021,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",235.405431527389
"295",2021,"30","Konstruksi",72.0350401235969
"296",2021,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",222.963985606221
"297",2021,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",222.96398568943
"298",2021,"33","Angkutan Rel",146.855704810654
"299",2021,"34","Angkutan Darat",222.963985720168
"300",2021,"35","Angkutan Laut",370.315222861264
"301",2021,"36","Angkutan Sungai Danau dan Penyeberangan",370.315218554714
"302",2021,"37","Angkutan Udara",327.260648268685
"303",2021,"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",132.880229913681
"304",2021,"39","Penyediaan Akomodasi",222.9639858111
"305",2021,"40","Penyediaan Makan Minum",154.48294761607
"306",2021,"41","Informasi dan Komunikasi",44.8708788967102
"307",2021,"42","Jasa Perantara Keuangan",114.720883004527
"308",2021,"43","Asuransi dan Dana Pensiun",114.720882858705
"309",2021,"44","Jasa Keuangan Lainnya",114.720883070726
"310",2021,"45","Jasa Penunjang Keuangan",114.720883104187
"311",2021,"46","Real Estate",154.482947472431
"312",2021,"47","Jasa Perusahaan",132.880229589843
"313",2021,"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",11149.3418861325
"314",2021,"49","Jasa Pendidikan",109.323244851144
"315",2021,"50","Jasa Kesehatan dan Kegiatan Sosial",57.8207590291383
"316",2021,"51","Jasa lainnya",293.993276824676
"317",2021,"52","Lainnya",184933.977849193
"318",2021,"53","lainnya (tidak menghasilkan output)",530201.900466722
"319",2022,"1","Tanaman Pangan",1794453.31987388
"320",2022,"2","Tanaman Hortikultura",730409.844739594
"321",2022,"3","Perkebunan",87193.3404446607
"322",2022,"4","Peternakan",1277.51381953809
"323",2022,"5","Jasa Pertanian dan Perburuan ",122031.72069908
"324",2022,"6","Kehutanan dan Penebangan Kayu",253799.666437903
"325",2022,"7","Perikanan",29992.5592737489
"326",2022,"8","Pertambangan Minyak Gas dan Panas Bumi",655.202241118855
"327",2022,"9","Pertambangan Bijih Logam",468.001601148557
"328",2022,"10","Pertambangan dan Penggalian Lainnya",221.045727061871
"329",2022,"11","Industri Batubara dan Pengilangan Migas",1173.8540447997
"330",2022,"12","Industri Makanan dan Minuman",6166.32520027706
"331",2022,"13","Pengolahan Tembakau",1569.02770903106
"332",2022,"14","Industri Tekstil dan Pakaian Jadi",218.387758852975
"333",2022,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",2189.43418728133
"334",2022,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",108.853669867362
"335",2022,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",410.871340797603
"336",2022,"18","Industri Kimia Farmasi dan Obat Tradisional",1123.52592603515
"337",2022,"19","Industri Karet Barang dari Karet dan Plastik",544.268349533327
"338",2022,"20","Industri Barang Galian bukan Logam",9306.42303091793
"339",2022,"21","Industri Logam Dasar",81.5627793564538
"340",2022,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",6.13249397712779
"341",2022,"23","Industri Mesin dan Perlengkapan YTDL",2042.12479722932
"342",2022,"24","Industri Alat Angkutan",1277.51382010501
"343",2022,"25","Industri Furnitur",437.886836893414
"344",2022,"26","Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan",1054.55939226136
"345",2022,"27","Ketenagalistrikan",239.539096323248
"346",2022,"28","Pengadaan Gas dan Produksi Es",77.7843276803033
"347",2022,"29","Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang",224.70518461731
"348",2022,"30","Konstruksi",56.4453672824766
"349",2022,"31","Perdagangan Mobil Sepeda Motor dan Reparasinya",210.911878299355
