year,id.sector,sector,Tconsumption,Padat_Ditimbun_di_TPA,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
2017,7,Perikanan,0.115518518,0,0,0,0.050862675,0,0,0,0.050862675,0.010153151,0,0,0.000132414,0.003507603,0,0,0
2017,8,"Pertambangan Minyak, Gas dan Panas Bumi",0.009912138,9.2623E-06,4.31034E-06,8.84278E-07,0,0,0,1.92156E-05,7.45672E-06,0.00726605,0,0,9.47617E-05,0.002510198,0,0,0
2017,9,Pertambangan Bijih Logam,0.000817714,7.64104E-07,3.55587E-07,7.29496E-08,0,0,0,1.58521E-06,6.15152E-07,0.000599422,0,0,7.81748E-06,0.000207082,0,0,0
2017,10,Pertambangan dan Penggalian Lainnya,78.75311901,0,78.751228,0,0,0,0,0,0,0.001391611,0,0,1.8149E-05,0.000480759,0,0,0
2017,11,Industri Batubara dan Pengilangan Migas,1.367582967,0.001277924,0.0005947,0.000122004,0,0,0,0.002651182,0.001028808,1.002500736,0,0,0.01307432,0.346333293,0,0,0
2017,12,Industri Makanan dan Minuman,0.240868208,0.000225077,0.000104743,2.14882E-05,0,0,0,0.000466945,0.000181201,0.176567391,0,0,0.00230274,0.060998624,0,0,0
2017,13,Pengolahan Tembakau,0.001165942,1.0895E-06,5.07015E-07,1.04016E-07,0,0,0,2.26028E-06,8.77117E-07,0.000854688,0,0,1.11466E-05,0.000295269,0,0,0
2017,14,Industri Tekstil dan Pakaian Jadi,0.066271933,6.19271E-05,2.88187E-05,5.91223E-06,0,0,0,0.000128474,4.98552E-05,0.048580352,0,0,0.000633571,0.016783023,0,0,0
2017,15,"Industri Kulit, Barang dari Kulit dan Alas Kaki",0.0061863,5.78073E-06,2.69014E-06,5.5189E-07,0,0,0,1.19927E-05,4.65384E-06,0.00453484,0,0,5.91421E-05,0.001566648,0,0,0
2017,16,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya",0.022149909,2.06978E-05,9.63199E-06,1.97603E-06,0,0,0,4.29396E-05,1.6663E-05,0.016236894,0,0,0.000211757,0.00560935,0,0,0
2017,17,"Industri Kertas dan Barang dari Kertas, Percetakan dan Reproduksi Media Rekaman",0.048285885,4.51203E-05,2.09973E-05,4.30766E-06,0,0,0,9.36065E-05,3.63246E-05,0.035395757,0,0,0.000461621,0.01222815,0,0,0
2017,18,"Industri Kimia, Farmasi dan Obat Tradisional",0.56400187,0.000527026,0.000245259,5.03155E-05,0,0,0,0.001093368,0.000424289,0.413439113,0,0,0.005391951,0.142830548,0,0,0
2017,19,"Industri Karet, Barang dari Karet dan Plastik",0.158257841,0.000147882,6.88192E-05,1.41184E-05,0,0,0,0.000306797,0.000119055,0.116010221,0,0,0.001512971,0.040077977,0,0,0
2017,20,Industri Barang Galian bukan Logam,0.012784004,1.19459E-05,5.55919E-06,1.14048E-06,0,0,0,2.47829E-05,9.61718E-06,0.009371258,0,0,0.000122217,0.003237483,0,0,0
2017,21,Industri Logam Dasar,0.006489637,6.06418E-06,2.82205E-06,5.78951E-07,0,0,0,1.25807E-05,4.88204E-06,0.0047572,0,0,6.2042E-05,0.001643467,0,0,0
2017,22,"Industri Barang dari Logam, Komputer, Barang Elektronik, Optik dan Peralatan Listrik",0.369618097,0.000345386,0.00016073,3.29742E-05,0,0,0,0.000716538,0.000278057,0.270946935,0,0,0.00353361,0.093603866,0,0,0
2017,23,Industri Mesin dan Perlengkapan YTDL,0.248597777,0.0002323,0.000108104,2.21778E-05,0,0,0,0.000481929,0.000187016,0.182233517,0,0,0.002376636,0.062956097,0,0,0
