"","year","id.land.use","land.use","luas.land.use"
"144",2022,"6","Hutan.mangrove.sekunder",797.668529806795
"145",2022,"7","Hutan.tanaman",382134.320424122
"146",2022,"8","Perkebunan",126594.14465205
"147",2022,"9","Semak.belukar",2563.69672129821
"148",2022,"10","Semak.belukar.rawa",0
"149",2022,"11","Savanna...Padang.rumput",0
"150",2022,"12","Pertanian.lahan.kering",1036456.26056005
"151",2022,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",865722.956292371
"152",2022,"14","Sawah",906563.33738052
"153",2022,"15","Tambak",47338.9574677171
"154",2022,"16","Pemukiman",205998.526026754
"155",2022,"17","Transmigrasi",0
"156",2022,"18","Lahan.terbuka",8081.19615801626
"157",2022,"19","Pertambangan",2518.11653345602
"158",2022,"20","Tubuh.air",20984.856291317
"159",2022,"21","Rawa",14.6765648463497
"160",2022,"22","Awan",0
"161",2022,"23","Bandara",164.147103377093
"162",2023,"1","Hutan.lahan.kering.primer",9687.12689969294
"163",2023,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",116754.348546565
"164",2023,"3","Hutan.rawa.primer",0
"165",2023,"4","Hutan.rawa.sekunder",0
"166",2023,"5","Hutan.mangrove.primer",0
"167",2023,"6","Hutan.mangrove.sekunder",742.071325456631
"168",2023,"7","Hutan.tanaman",368168.114698547
"169",2023,"8","Perkebunan",121368.092009366
"170",2023,"9","Semak.belukar",2383.21406569666
"171",2023,"10","Semak.belukar.rawa",0
"172",2023,"11","Savanna...Padang.rumput",0
"173",2023,"12","Pertanian.lahan.kering",1062429.83456393
"174",2023,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",886484.876781908
"175",2023,"14","Sawah",910616.698196044
"176",2023,"15","Tambak",43875.2495712871
"177",2023,"16","Pemukiman",189290.020754532
"178",2023,"17","Transmigrasi",0
"179",2023,"18","Lahan.terbuka",7385.827707014
"180",2023,"19","Pertambangan",2848.68095518493
"181",2023,"20","Tubuh.air",19270.8015203783
"182",2023,"21","Rawa",13.4136800006308
"183",2023,"22","Awan",0
"184",2023,"23","Bandara",143.628724393232
"185",2024,"1","Hutan.lahan.kering.primer",8930.76156740299
"186",2024,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",107769.548771465
"187",2024,"3","Hutan.rawa.primer",0
"188",2024,"4","Hutan.rawa.sekunder",0
"189",2024,"5","Hutan.mangrove.primer",0
"190",2024,"6","Hutan.mangrove.sekunder",684.281844244382
"191",2024,"7","Hutan.tanaman",353619.299372837
"192",2024,"8","Perkebunan",116410.987906807
"193",2024,"9","Semak.belukar",2190.16951835072
"194",2024,"10","Semak.belukar.rawa",0
"195",2024,"11","Savanna...Padang.rumput",0
"196",2024,"12","Pertanian.lahan.kering",1089453.53841909
"197",2024,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",908131.125368001
"198",2024,"14","Sawah",914448.184303893
"199",2024,"15","Tambak",40380.1804290226
"200",2024,"16","Pemukiman",171933.609282489
"201",2024,"17","Transmigrasi",0
"202",2024,"18","Lahan.terbuka",6640.53260384427
"203",2024,"19","Pertambangan",3265.69905228278
"204",2024,"20","Tubuh.air",17466.3462967492
"205",2024,"21","Rawa",12.0601214806477
"206",2024,"22","Awan",0
"207",2024,"23","Bandara",125.67514203991
"208",2025,"1","Hutan.lahan.kering.primer",8122.41723968791
"209",2025,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",98168.4068208052
"210",2025,"3","Hutan.rawa.primer",0
"211",2025,"4","Hutan.rawa.sekunder",0
"212",2025,"5","Hutan.mangrove.primer",0
"213",2025,"6","Hutan.mangrove.sekunder",624.180672627921
"214",2025,"7","Hutan.tanaman",338470.037957181
"215",2025,"8","Perkebunan",111708.724963844
"216",2025,"9","Semak.belukar",1984.276418412
"217",2025,"10","Semak.belukar.rawa",0
"218",2025,"11","Savanna...Padang.rumput",0
"219",2025,"12","Pertanian.lahan.kering",1117577.48882305
"220",2025,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",930703.84427586
"221",2025,"14","Sawah",918051.720751041
"222",2025,"15","Tambak",36844.4203596831
"223",2025,"16","Pemukiman",153884.236873876
"224",2025,"17","Transmigrasi",0
"225",2025,"18","Lahan.terbuka",5844.17728445378
"226",2025,"19","Pertambangan",3789.3451729933
"227",2025,"20","Tubuh.air",15568.1427991067
"228",2025,"21","Rawa",10.61383057801
"229",2025,"22","Awan",0
"230",2025,"23","Bandara",109.965756799835
"231",2026,"1","Hutan.lahan.kering.primer",7260.47579072891
"232",2026,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",87931.7294311596
"233",2026,"3","Hutan.rawa.primer",0
"234",2026,"4","Hutan.rawa.sekunder",0
"235",2026,"5","Hutan.mangrove.primer",0
"236",2026,"6","Hutan.mangrove.sekunder",561.624262706756
