Lap_usaha,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
 Industri Mesin Alat-alat dan Perlengkapan Listrik ,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214,0.024038214
 Industri Alat Pengangkutan dan Perbaikannya ,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927,0.020663927
 Industri yang Belum Digolongkan dimanapun ,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688,0.023049688
 Listrik Gas dan Air Minum ,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097,0.070225097
 Bangunan ,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206,0.068519206
 Perdagangan ,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504,0.070935504
 Hotel dan Restoran ,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782,0.090846782
 Angkutan Kereta Api ,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033,0.073792033
 Angkutan Jalan Raya ,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118,0.090517118
 Angkutan Air ,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838,0.049328838
 Angkutan Udara dan Jasa Penunjang Angkutan ,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087,0.069737087
 Komunikasi ,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989,0.076300989
 Bank dan Lembaga Keuangan lainnya ,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094,0.060978094
 Usaha Bangunan dan Jasa Perusahaan ,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162,0.082132162
 Pemerintahan Umum dan Jasa ,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795,0.055313795
 Jasa Sosial Kemasyarakatan ,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547,0.057293547
 Jasa Lainnya ,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594,0.041744594
 Kegiatan yang tak jelas batasannya ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
