"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID","Category","ScenarioName"
"3734",2026,2421491.027953,47492429.5851955,364335943.026775,3617794895.51496,0.0066463138603238,0.297514817170787,"combination2.154","Q3","combination2.154"
"3735",2027,2591027.42916198,50083457.0143574,394340915.892239,4012135811.40719,0.00657052647783075,0.30406707791643,"combination2.154","Q3","combination2.154"
"3736",2028,2750426.16792156,52833883.182279,427077347.369331,4439213158.77652,0.00644011251091486,0.310490446816908,"combination2.154","Q3","combination2.154"
"3737",2029,3006316.978148,55840200.160427,462805967.756833,4902019126.53336,0.00649584747733325,0.316971014855036,"combination2.154","Q3","combination2.154"
"3738",2030,3238608.33293043,59078808.4933574,501816782.413383,5403835908.94674,0.0064537664869537,0.32341082965554,"combination2.154","Q3","combination2.154"
"3739",2010,14376386.9318952,14376386.9318952,112220506.483842,112220506.483842,0.128108376822958,0.128145406942365,"combination2.155","Q3","combination2.155"
"3740",2011,1734566.37582701,16110953.3077222,120161493.808224,232382000.292066,0.0144352930448363,0.142510394845047,"combination2.155","Q3","combination2.155"
"3741",2012,3342311.08320827,19453264.3909305,128754208.514553,361136208.80662,0.0259588492039893,0.168420768772685,"combination2.155","Q3","combination2.155"
"3742",2013,1874464.90394956,21327729.2948801,138074979.306442,499211188.113062,0.0135757029504193,0.181942671978514,"combination2.155","Q3","combination2.155"
"3743",2014,1892888.99946108,23220618.2943411,148174073.054863,647385261.167925,0.0127747652503297,0.194666724010784,"combination2.155","Q3","combination2.155"
"3744",2015,1904477.97053413,25125096.2648753,159121767.859244,806507029.027169,0.0119686828279761,0.206588045483338,"combination2.155","Q3","combination2.155"
"3745",2016,1884006.65807424,27009102.9229495,170996446.133735,977503475.160903,0.0110178117772154,0.217561673532846,"combination2.155","Q3","combination2.155"
"3746",2017,1886548.58404054,28895651.50699,183884901.322022,1161388376.48292,0.0102593990614639,0.227779403723503,"combination2.155","Q3","combination2.155"
"3747",2018,1870261.41201031,30765912.9190004,197877699.216296,1359266075.69922,0.00945160277998767,0.237192401043047,"combination2.155","Q3","combination2.155"
"3748",2019,1888689.78992376,32654602.7089241,213083248.97105,1572349324.67027,0.00886362395469369,0.246018819532918,"combination2.155","Q3","combination2.155"
"3749",2020,1912559.95024841,34567162.6591725,229606605.324287,1801955929.99456,0.00832972530362174,0.25431400853663,"combination2.155","Q3","combination2.155"
"3750",2021,1955640.54883226,36522803.2080048,247574727.270166,2049530657.26472,0.00789919298466263,0.262181262319145,"combination2.155","Q3","combination2.155"
"3751",2022,2027937.02534503,38550740.2333498,267123251.040139,2316653908.30486,0.0075917652897999,0.269743649875468,"combination2.155","Q3","combination2.155"
"3752",2023,2088713.94463579,40639454.1779856,288401947.095441,2605055855.40031,0.00724237116174732,0.27695892140518,"combination2.155","Q3","combination2.155"
"3753",2024,2158769.59033119,42798223.7683168,311570920.940883,2916626776.34119,0.00692866196823545,0.283863495885762,"combination2.155","Q3","combination2.155"
"3754",2025,2238574.92657456,45036798.6948914,336819155.356683,3253445931.69787,0.0066462221372296,0.290487083707762,"combination2.155","Q3","combination2.155"
"3755",2026,2422975.35246161,47459774.047353,364335229.63068,3617781161.32856,0.00665040093684526,0.297117164873614,"combination2.155","Q3","combination2.155"
"3756",2027,2592462.52698139,50052236.5743344,394340202.496144,4012121363.82469,0.00657417760241359,0.303673218420887,"combination2.155","Q3","combination2.155"
"3757",2028,2751814.14217273,52804050.7165071,427076633.973236,4439197997.79793,0.00644337321049782,0.310099977813584,"combination2.155","Q3","combination2.155"
"3758",2029,3007659.84395395,55811710.560461,462805254.360738,4902003252.15867,0.0064987590689919,0.316583575990307,"combination2.155","Q3","combination2.155"
"3759",2030,3239908.02323186,59051618.5836929,501816069.017288,5403819321.17595,0.00645636563527471,0.32302609828685,"combination2.155","Q3","combination2.155"
"3760",2010,13694278.9771865,13694278.9771865,112205896.043644,112205896.043644,0.122045983856854,0.122073680449339,"combination2.156","Q3","combination2.156"
"3761",2011,1761944.41425715,15456223.3914436,120146883.368026,232352779.41167,0.0146649198453203,0.136678161956859,"combination2.156","Q3","combination2.156"
"3762",2012,3628546.28283379,19084769.6742774,128745308.462477,361098087.874148,0.0281839107472512,0.16481955607743,"combination2.156","Q3","combination2.156"
"3763",2013,1890880.77429568,20975650.4485731,138066079.254367,499164167.128515,0.0136954767203319,0.178466440659517,"combination2.156","Q3","combination2.156"
"3764",2014,1909379.97378945,22885030.4223625,148165173.002788,647329340.131303,0.0128868338968803,0.19130742597018,"combination2.156","Q3","combination2.156"
"3765",2015,1921068.0467997,24806098.4691622,159112867.807168,806442207.938471,0.0120736183897324,0.203338222870153,"combination2.156","Q3","combination2.156"
"3766",2016,1900718.86844052,26706817.3376028,170987546.081659,977429754.02013,0.0111161246067172,0.214414404258407,"combination2.156","Q3","combination2.156"
"3767",2017,1903405.03638323,28610222.373986,183876001.269947,1161305755.29008,0.0103515685746769,0.224728252804825,"combination2.156","Q3","combination2.156"
