"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID"
"1489",2028,-1401550.92764241,-11506120.1118568,84531.4975029826,1665421.96950245,-16.5802212079936,-0.0430822127016046,"combination2.48"
"1490",2029,-1356515.82030667,-12862635.9321635,84398.4329527617,1749820.40246296,-16.0727607474172,-0.0460290003641814,"combination2.48"
"1491",2030,-1355742.57097299,-14218378.5031365,84265.3684004545,1834085.77085304,-16.088965095721,-0.0487449852114048,"combination2.48"
"1492",2010,-710217.738794694,-710217.738794694,119845.220202997,119845.220202997,-5.92612485997945,-0.00643364040359853,"combination2.49"
"1493",2011,113390.589615492,-596827.149179202,108904.526811257,228749.747013986,1.04119262013791,-0.00557475404395402,"combination2.49"
"1494",2012,-150910.715926223,-747737.865105424,95823.8852625787,324573.632277369,-1.57487577875489,-0.00681742689814435,"combination2.49"
"1495",2013,125348.264692886,-622389.600412538,96339.146140933,420912.778417885,1.30111454911086,-0.00597415953135377,"combination2.49"
"1496",2014,119072.847889785,-503316.752522754,95703.7290242612,516616.507442117,1.24418190496631,-0.00523001775220283,"combination2.49"
"1497",2015,93276.8242478576,-410039.928274896,95281.9955691993,611898.503011346,0.978955401706658,-0.00469872347065359,"combination2.49"
"1498",2016,16462.6154883839,-393577.312786512,94681.3104886711,706579.813499331,0.173873971572813,-0.00465315246899856,"combination2.49"
"1499",2017,-47563.8977103569,-441141.210496869,95410.2550285161,801990.068527937,-0.49851976285087,-0.00495919118755339,"combination2.49"
"1500",2018,-243588.059724439,-684729.270221308,95410.2550286055,897400.323558092,-2.55305951809276,-0.00623437837118201,"combination2.49"
"1501",2019,-301467.751367539,-986197.021588847,99034.0339396596,996434.357494116,-3.04408231569382,-0.00769154560172369,"combination2.49"
"1502",2020,-587341.346784901,-1573538.36837375,99194.6792185009,1095629.03671479,-5.92109729485728,-0.0102891751608662,"combination2.49"
"1503",2021,-828521.483958233,-2402059.85233198,99194.6792192459,1194823.71593261,-8.35247908939739,-0.0136724937436821,"combination2.49"
"1504",2022,-998068.922502846,-3400128.77483483,98883.4736862779,1293707.18961525,-10.0933845191297,-0.0174427198240108,"combination2.49"
"1505",2023,-1039664.3257488,-4439793.10058363,98461.740232408,1392168.92985535,-10.559069170368,-0.0210786006014472,"combination2.49"
"1506",2024,-1292769.17618363,-5732562.27676726,95009.7062457204,1487178.63610411,-13.6067063805058,-0.02525541119059,"combination2.49"
"1507",2025,-1413060.16595887,-7145622.44272613,96968.9956521392,1584147.63174677,-14.5722883531557,-0.0294766046922721,"combination2.49"
"1508",2026,-1391733.21110655,-8537355.65383268,94997.6607643366,1679145.29252005,-14.6501840140997,-0.0333196979249637,"combination2.49"
